노선명,철도운영기관,상세노선명,역명,주소,위도,경도
KTX,한국철도공사,경부선,행신,경기도 고양시 덕양구 소원로 102,37.6121307475096,126.834189041595
KTX,한국철도공사,경부선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,경부선,영등포,서울특별시 영등포구 경인로 846,37.5156680341198,126.907665995469
KTX,한국철도공사,경부선,광명,경기도 광명시 광명역로 21,37.4163635638303,126.884877197434
KTX,한국철도공사,경부선,수원,경기도 수원시 팔달구 덕영대로 924,37.2655920786365,127.000179930083
KTX,한국철도공사,경부선,천안아산,충남 아산시 배방읍 희망로 100,36.7945079707717,127.104454256564
KTX,한국철도공사,경부선,오송,충북 청주시 흥덕구 오송읍 오송가락로 123 ,36.620474826115,127.327143465414
KTX,한국철도공사,경부선,대전,대전 동구 중앙로 215,36.3344230194263,127.432103833008
KTX,한국철도공사,경부선,김천구미,경북 김천시 남면 혁신 1로 51,36.1135294351144,128.181176881658
KTX,한국철도공사,경부선,서대구,대구시 서구 와룡로 527,35.8814797778455,128.54017558255
KTX,한국철도공사,경부선,동대구,대구 동구 동대구로 550,35.8794361440597,128.628775532684
KTX,한국철도공사,경부선,포항,경북 포항시 흥해읍 포항역로1,36.0716046695892,129.341926589134
KTX,한국철도공사,경부선,경주,경북 경주시 건천읍 경주역로 80,35.7980625229055,129.139413816622
KTX,한국철도공사,경부선,울산(통도사),울산 울주군 삼남면 울산역로 177,35.5514991806291,129.138631643059
KTX,한국철도공사,경부선,경산,경북 경산시 중앙로 1,35.8193911083973,128.727508240274
KTX,한국철도공사,경부선,밀양,경남 밀양시 중앙로 62,35.4747794174479,128.770632919431
KTX,한국철도공사,경부선,물금,경남 양산시 물금읍 황산로 347,35.3070596454908,128.985708238134
KTX,한국철도공사,경부선,구포,부산 북구 구포만세길 82,35.2054723733824,128.997141968062
KTX,한국철도공사,경부선,부산,부산시 동구 중앙대로 206,35.117605126596,129.045060216345
KTX,한국철도공사,호남선,행신,경기도 고양시 덕양구 소원로 102,37.6121307475096,126.834189041595
KTX,한국철도공사,호남선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,호남선,용산,서울특별시 용산구 한강대로 23길 55,37.5297718014452,126.964741503485
KTX,한국철도공사,호남선,광명,경기도 광명시 광명역로 21,37.4163635638303,126.884877197434
KTX,한국철도공사,호남선,천안아산,충남 아산시 배방읍 희망로 100,36.7945079707717,127.104454256564
KTX,한국철도공사,호남선,오송,충북 청주시 흥덕구 오송읍 오송가락로 123 ,36.620474826115,127.327143465414
KTX,한국철도공사,호남선,공주,충남 공주시 이인면 새빛로 100 ,36.3323133715903,127.096739049946
KTX,한국철도공사,호남선,서대전,대전 중구 오류로 23,36.3225501550863,127.403284156852
KTX,한국철도공사,호남선,계룡,충남 계룡시 두마면 팥거리로 95,36.2729339871558,127.265598640975
KTX,한국철도공사,호남선,논산,충남 논산시 해월로 236-13 ,36.207555504019,127.092981800073
KTX,한국철도공사,호남선,익산,전북 익산시 익산대로 153,35.9418527931554,126.947304569201
KTX,한국철도공사,호남선,김제,전북 김제시 두월로 198,35.7917006352681,126.902163614559
KTX,한국철도공사,호남선,정읍,전북 정읍시 서부산업도로 305,35.5754841690656,126.842377584782
KTX,한국철도공사,호남선,장성,전남 장성군 장성읍 영천리 1273-5,35.2995868979163,126.780133364666
KTX,한국철도공사,호남선,광주송정,광주 광산구 상무대로 201,35.1372122528195,126.79066201909
KTX,한국철도공사,호남선,나주,전남 나주시 송월동 262-2,35.0153642802775,126.727194294365
KTX,한국철도공사,호남선,목포,전남 목포시 호남동 1-1,34.7911015707888,126.386417291329
KTX,한국철도공사,경전선,행신,경기도 고양시 덕양구 소원로 114,37.6123584215078,126.835537116084
KTX,한국철도공사,경전선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,경전선,광명,경기도 광명시 광명역로 21,37.4163635638303,126.884877197434
KTX,한국철도공사,경전선,천안아산,충남 아산시 배방읍 희망로 100,36.7945079707717,127.104454256564
KTX,한국철도공사,경전선,오송,충북 청주시 흥덕구 오송읍 오송가락로 123 ,36.620474826115,127.327143465414
KTX,한국철도공사,경전선,대전,대전 동구 중앙로 215,36.3344230194263,127.432103833008
KTX,한국철도공사,경전선,김천구미,경북 김천시 남면 혁신 1로 51,36.1135294351144,128.181176881658
KTX,한국철도공사,경전선,서대구,대구시 서구 와룡로 527,35.8814797778455,128.54017558255
KTX,한국철도공사,경전선,동대구,대구 동구 동대구로 550,35.8794361440597,128.628775532684
KTX,한국철도공사,경전선,경산,경북 경산시 중앙로 1,35.8193911083973,128.727508240274
KTX,한국철도공사,경전선,밀양,경남 밀양시 중앙로 62,35.4747794174479,128.770632919431
KTX,한국철도공사,경전선,진영,경남 김해시 진영읍 김해대로 809,35.2985757602557,128.773919925616
KTX,한국철도공사,경전선,창원중앙,경남 창원시 의창구 상남로 381,35.2422530973209,128.701329974647
KTX,한국철도공사,경전선,창원,경남 창원시 의창구 의창대로 67,35.257039813852,128.606498938467
KTX,한국철도공사,경전선,마산,경남 창원시 마산회원구 마산역광장로 18,35.2361096246682,128.577217454129
KTX,한국철도공사,경전선,진주,경남 진주시 개양로 116번길 33,,
KTX,한국철도공사,전라선,행신,경기도 고양시 덕양구 소원로 114,37.6123584215078,126.835537116084
KTX,한국철도공사,전라선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,전라선,용산,서울특별시 용산구 한강대로 23길 55,37.5297718014452,126.964741503485
KTX,한국철도공사,전라선,광명,경기도 광명시 광명역로 21,37.4163635638303,126.884877197434
KTX,한국철도공사,전라선,천안아산,충남 아산시 배방읍 희망로 100,36.7945079707717,127.104454256564
KTX,한국철도공사,전라선,오송,충북 청주시 흥덕구 오송읍 오송가락로 123 ,36.620474826115,127.327143465414
KTX,한국철도공사,전라선,공주,충남 공주시 이인면 새빛로 100 ,36.3323133715903,127.096739049946
KTX,한국철도공사,전라선,서대전,대전 중구 오류로 23,36.3225501550863,127.403284156852
KTX,한국철도공사,전라선,계룡,충남 계룡시 두마면 팥거리로 95,36.2729339871558,127.265598640975
KTX,한국철도공사,전라선,논산,충남 논산시 해월로 236-13 ,36.207555504019,127.092981800073
KTX,한국철도공사,전라선,익산,전북 익산시 익산대로 153,35.9418527931554,126.947304569201
KTX,한국철도공사,전라선,전주,전북 전주시 덕진구 동부대로 680,35.849688912566,127.163470628671
KTX,한국철도공사,전라선,남원,전북 남원시 교룡로 71,35.4112340368782,127.361395171277
KTX,한국철도공사,전라선,곡성,전남 곡성군 곡성로 920,35.2836105383006,127.303695147064
KTX,한국철도공사,전라선,구례구,전남 순천시 황전면 섬진강로 217,35.163310650026,127.453153044419
KTX,한국철도공사,전라선,순천,전남 순천시 팔마로 135,34.9458736815396,127.503076078383
KTX,한국철도공사,전라선,여천,전남 여수시 시청로 200,34.779258431408,127.663825568069
KTX,한국철도공사,전라선,여수EXPO,전남 여수시 망양로 2,34.7531073123699,127.74885662663
KTX,한국철도공사,강릉선,행신,경기도 고양시 덕양구 소원로 102,37.6121307475096,126.834189041595
KTX,한국철도공사,강릉선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,강릉선,청량리,서울시 동대문구 왕산로-214,37.584197400389,127.05114503929
KTX,한국철도공사,강릉선,상봉,서울시 중랑구 망우로 297,37.5967093285386,127.085741817289
KTX,한국철도공사,강릉선,덕소,경기도 남양주시 와부읍 덕소리 56,37.5913632763104,127.223657441833
KTX,한국철도공사,강릉선,양평,경기도 양평군 양평읍 역전길 30,37.4930040259303,127.491768788861
KTX,한국철도공사,강릉선,서원주,강원도 원주시 지정면 지정로 145,37.3492447634322,127.839655143476
KTX,한국철도공사,강릉선,만종,강원도 원주시 호저면 운동들2길 21-33 ,37.3536576328547,127.89310031546
KTX,한국철도공사,강릉선,횡성,강원도 횡성군 횡성읍 덕고로 591,37.4830965031512,128.010028385935
KTX,한국철도공사,강릉선,둔내,강원도 횡성군 둔내면 고원로 116,37.5102652667776,128.221358650397
KTX,한국철도공사,강릉선,평창,강원도 평창군 용평면 평창대로 1715,37.5623855499484,128.429649486561
KTX,한국철도공사,강릉선,진부(오대산),강원도 평창군 진부면 송정길 120,37.6427711247019,128.574465399427
KTX,한국철도공사,강릉선,강릉,강원도 강릉시 용지로 176,37.7645195812136,128.899617238918
KTX,한국철도공사,강릉선,정동진,강원도 강릉시 강동면 정동역길17,37.6913398885234,129.03282949125
KTX,한국철도공사,강릉선,묵호,강원 동해시 해안로 520,37.5455756790346,129.107990457179
KTX,한국철도공사,강릉선,동해,강원 동해시 동해역길 69,37.4990444737682,129.124237211014
KTX,한국철도공사,중앙선,서울,서울특별시 용산구 한강대로 405,37.5548375992165,126.971732581232
KTX,한국철도공사,중앙선,청량리,서울시 동대문구 왕산로-214,37.584197400389,127.05114503929
KTX,한국철도공사,중앙선,양평,경기도 양평군 양평읍 역전길 30,37.4930040259303,127.491768788861
KTX,한국철도공사,중앙선,서원주,강원도 원주시 지정면 지정로 145,37.3492447634322,127.839655143476
KTX,한국철도공사,중앙선,원주,강원도 원주시 북원로 1860,37.3159750909393,127.921908717082
KTX,한국철도공사,중앙선,제천,충북 제천시 의림대로1,37.1288793882862,128.20429020669
KTX,한국철도공사,중앙선,단양,충북 단양군 단양읍 단양로 896,36.9731928450697,128.343797238173
KTX,한국철도공사,중앙선,풍기,경북 영주시 풍기읍 인삼로 1,36.8737645479829,128.524738278245
KTX,한국철도공사,중앙선,영주,경북 영주시 선비로 64,36.8100807321233,128.625043239946
KTX,한국철도공사,중앙선,안동,경북 안동시 송현동 648,36.5752200558612,128.674825915733
KTX,한국철도공사,중부내륙선,판교(경기),경기도 성남시 분당구 판교역로 160,37.3947948422615,127.110989722725
KTX,한국철도공사,중부내륙선,부발,경기도 이천시 부발읍 신아로 87,37.2598547047189,127.490363784678
KTX,한국철도공사,중부내륙선,가남,경기도 여주시 가남읍 태평리 514,37.1973722258348,127.536009879411
KTX,한국철도공사,중부내륙선,감곡장호원,충북 음성군 감곡면 왕장리 312-2,37.126831878807,127.63526772854
KTX,한국철도공사,중부내륙선,앙성온천,충북 충주시 앙성면 돈산리 317,37.0920859025319,127.787176224284
KTX,한국철도공사,중부내륙선,충주,충북 충주시 충원대로 539,36.9766113158952,127.909462779883
